Possible first,Definitely middle,Marginal,Cute,,,,,Katie,Paul,,Katie,Paul,,Katie,Paul,,Katie,Paul,
Jonah,Beccaria,Trinity,Dromiceiominus,,,,,Craig>Matthias,Craig>Matthias,,Zaccheus>George,George>Zaccheus,,Thomas>Sean,Sean>Thomas,,Simon>Gregory,Simon>Gregory,
Ezekiel,Love,Roy,Stanislaus Stanley,,,Jamie,Stansifer,Frederick>Marcus,Frederick>Marcus,,Thomas>Jonas,Jonas>Thomas,,Thomas>Matthias,Thomas>Matthias,,Philip>Leonard,Philip>Leonard,
Peter,Card,Elan,William Secretary Canine,,,Luke,stansifer,George>Martin,George>Martin,,Mark>Timothy,Mark>Timothy,,Philip>Derek,Philip>Derek,,Philip>Gavin,Gavin>Philip,
Adam,Dale,Toby/Tobias,Do not destroy,,,s,,Jonah>Thomas,Jonah>Thomas,,Luke>Lewis,Luke>Lewis,very close!,Peter>Jude,Peter>Jude,,Peter>Jonas,Peter>Jonas,
Andrew,Duckworth,Robert,alpha equivalence,,,,,Abraham>Evan,Abraham>Evan,,Luke>Jonas,Luke>Jonas,,Marcus>Grant,Grant>Marcus,,Peter>Carter,Peter>Carter,
Luke,Greer,Brian,Fnu,,,,,Eli>Lazar,Eli>Lazar,,Lewis>Joshua,Lewis>Joshua,,Lincoln>Craig,Lincoln>Craig,close,Nathan>Thomas,Nathan>Thomas,
Frederick,Sherwood,Ricky,Dash,,,,,Zaccheus>Jude,Zaccheus>Jude,,Lewis>Caleb,Caleb>Lewis,,Jude>Grant,Grant>Jude,,Nathan>Derek,Nathan>Derek,
Isaac,Romer,Hibbard,Humanitarians,,,,,Joseph>Zaccheus,Zaccheus>Joseph,,Jude>Lazar,Lazar>Jude,,Jonah>Lazar,Jonah>Lazar,,Luke>Lincoln,Luke>Lincoln,
Joshua,Haynes,Horton,Urban,,,,,Elias>Theo,Elias>Theo,,Jude>Caleb,Caleb>Jude,,Jeremy>Simon,Jeremy>Simon,,Linus>Jeremy,Linus>Jeremy,
Eli,Duncan,Anthony,S expression,,,,,Isaiah>Edward,Isaiah>Edward,,Gordon>Arthur,Gordon>Arthur,,Jeremy>Arthur,Arthur>Jeremy,,Leonard>Sean,Leonard>Sean,
Gavin,Lynn,Jonathan,,,,,,Elias>Joseph,Elias>Joseph,,George>Simon,Simon>George,,George>Peter,Peter>George,katie likes both,Leonard>Gavin,Gavin>Leonard,
Jude,Ruggles,Jordan,,,,,,Isaac>Gordon,Isaac>Gordon,,Ezekiel>Gregory,Gregory>Ezekiel,,Gavin>Stephen,Gavin>Stephen,,Jude>Linus,Linus>Jude,
Joel,Fleming,Josiah,,,,,,Eli>George,Eli>George,,Ezekiel>Edward,Edward>Ezekiel,,Gavin>Carter,Gavin>Carter,,Jude>Jamie,Jamie>Jude,
